time,day,ID_old,IO,antenna,ID,dep_time,g,density,a,b,c,int
230.71346064814816,230,0756D2,In,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.71369212962964,230,0750EB,Out,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.7139351851852,230,0750EB,In,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.71417824074075,230,0750EB,Out,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.71437500000002,230,0750EB,In,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.7144328703704,230,0756D2,Out,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.71451388888892,230,0756D2,In,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.71474537037037,230,0750EB,Out,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.71484953703705,230,0750EB,In,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.7153240740741,230,0750EB,Out,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.71555555555557,230,0750EB,In,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.7156365740741,230,0756D2,Out,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.71564814814818,230,0756D2,In,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.71578703703705,230,0750EB,Out,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.7160300925926,230,0750EB,In,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.71671296296296,230,0756D2,Out,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.71688657407407,230,0750EB,Out,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.71699074074075,230,0750EB,In,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.71721064814815,230,0756D2,In,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.71722222222223,230,0750EB,Out,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.71736111111113,230,0750EB,In,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.71747685185187,230,0756D2,Out,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.7182175925926,230,0756D2,In,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.71854166666668,230,0756D2,In,13,1,227.41805555555555,568,2.73,103,66,60,0.2
230.71859953703705,230,0750EB,Out,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.71869212962963,230,0750EB,In,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.7187847222222,230,0756D2,Out,13,1,227.41805555555555,568,2.73,103,66,60,0.2
230.71905092592593,230,0756D2,Out,14,1,227.41805555555555,568,2.73,103,66,60,0.2
230.7192476851852,230,0750EB,Out,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.71931712962962,230,0750EB,In,10,3,227.42152777777775,584,2.65,105,71,57,0.2
230.719375,230,0756D2,In,14,1,227.41805555555555,568,2.73,103,66,60,0.2
